t_ms,raw_Thumb,raw_Index,raw_Middle,raw_Ring,raw_Little,ema_Thumb,ema_Index,ema_Middle,ema_Ring,ema_Little,label
586937,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,21.246340280899783,22.48713219823271,24.638039734069977,23.05074800523913,20.598213624512752,stop
587037,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,23.66890342471983,24.66153695858617,26.382262987255984,25.112429604191306,23.150402099610204,stop
587137,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,25.606953939775863,26.401060766868937,27.777641589804787,26.76177488335305,25.19215287968817,stop
587237,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,27.15739435182069,27.792679813495155,28.89394447184383,28.081251106682444,26.825553503750537,stop
587337,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,28.397746681456553,28.90597505079613,29.786986777475065,29.13683208534596,28.132274003000433,stop
587437,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,29.390028545165244,29.796611240636903,30.501420621980053,29.98129686827677,29.177650402400342,stop
587537,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,30.183854036132196,30.509120192509528,31.072967697584048,30.656868694621423,30.013951521920276,stop
587637,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,30.818914428905757,31.079127354007625,31.53020535806724,31.19732615569714,30.682992417536227,stop
587737,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,31.32696274312461,31.535133083206105,31.8959954864538,31.62969212455771,31.218225134028984,stop
587837,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,31.733401394499698,31.899937666564888,32.18862758916304,31.975584899646172,31.64641130722319,stop
587937,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,32.058552315599755,32.19178133325191,32.422733271330436,32.25229911971694,31.988960245778557,stop
588037,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,18.786885,32.31867305247981,32.42525626660153,32.61001781706435,32.473670495773554,29.348545196622844,stop
588137,20.210527,23.004951,27.447369,23.126865,15.222973,29.897043841983848,30.541195213281227,31.57748805365148,30.604309396618845,26.523430757298275,stop
588237,10.285715,11.664894,16.698528999999997,14.365385,10.573171,25.97477807358708,26.765934970624983,28.60169624292119,27.35652451729508,23.333378805838624,stop
588337,12.683381,14.416398,18.221115,15.568966,11.664894,23.316498658869666,24.296027576499988,26.525579994336955,24.999012813836064,20.9996818446709,stop
588437,6.947099000000001,9.031915,10.906015,9.427152,6.382166,20.04261872709573,21.24320506119999,23.401666995469565,21.884640651068853,18.07617867573672,stop
588537,6.654859999999999,8.560976,10.514563,9.145161,6.011381,17.365066981676584,18.70675924895999,20.824246196375658,19.336744720855084,15.663219140589376,stop
588637,6.601473,8.4,10.427711,9.054371,5.977341,15.212348185341268,16.645407399167997,18.74493915710052,17.280269976684068,13.726043512471502,stop
588737,6.548781,8.340954,10.399039,9.031915,6.022797,13.479634748273016,14.984516719334398,17.075759125680417,15.630598981347257,12.185394209977204,stop
588837,6.509708,8.321429,10.285715,8.943038,5.9548190000000005,12.085649398618417,13.651899175467518,15.717750300544337,14.293086785077806,10.939279167981764,stop
